c_nuber;JP Partner;C_year;Status;C_title;s_date;Responsabl;F_date;PCode;PName;L_PName;PName;L_PName;Planed_amo;Amo_Province;Sector;X;Y;Sector
306709;European Union;2013;Ongoing;Poverty Reduction Project Oudomxay;06.05.2013;SENEKHAMTY Inpone;31.03.2019;4;Oudomxai;???????;Oudomxay;?. ?????????;1000000;1000000;Nutrition ;157846,0655;2262655,681;Nutrition 
299163;European Union;2012;Ongoing;Support for the National Strategic Plan for UXO (unexploded ordance) as part of sustainable development in the uplands of Lao PDR;09.01.2012;OLIVER-CRUZ IGNACIO;28.02.2017;17;Attapeu;???????;Attapeu;?. ?????????;1300000;650000;Other (UXO);708017,3435;1635585,978;Other (UXO)
299163;European Union;2012;Ongoing;Support for the National Strategic Plan for UXO (unexploded ordance) as part of sustainable development in the uplands of Lao PDR;09.01.2012;OLIVER-CRUZ IGNACIO;28.02.2017;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;1300000;650000;Other (UXO);244231,412;2007885,134;Other (UXO)
303300;European Union;2014;Ongoing;Landscape management and Conservation Agriculture development for Eco-Friendly Intensification and Climate Resilient Agricultural Systems in Lao PDR - EFICAS;15.03.2014;SENEKHAMTY Inpone;03.01.2019;6;Louangphabang;?????????;Luangprabang;?. ???????????;1587254;793627;Environment and Natural resources;243140,5795;2226599,839;Environment and Natural resources
303300;European Union;2014;Ongoing;Landscape management and Conservation Agriculture development for Eco-Friendly Intensification and Climate Resilient Agricultural Systems in Lao PDR - EFICAS;15.03.2014;SENEKHAMTY Inpone;03.01.2019;7;Houaphan;??????;Huaphanh;??. ???????;1587254;793627;Environment and Natural resources;396388,9558;2243602,685;Environment and Natural resources
303318;European Union;2014;Ongoing;Northern Uplands - Piloting Climate Resilience (NU-PCR);03.12.2014;SENEKHAMTY Inpone;10.01.2019;2;Phongsaly;????????;Phongsaly;?. ??????????;1600000;1600000;Environment and Natural resources;214551,4531;2396452,242;Environment and Natural resources
371519;European Union;2015;Ongoing;Luang Prabang - handle with care;05.01.2016;XAYTHANITH KALAKATE;31.10.2020;6;Louangphabang;?????????;Luangprabang;?. ???????????;1620000;1620000;Private sector development ;243140,5795;2226599,839;Private sector development 
306616;European Union;2012;Ongoing;Improved Cook Stoves Programme, Laos;02.01.2013;OLIVER-CRUZ IGNACIO;31.07.2019;16;Champasak;???????;Champasack;?. ?????????;1847792;369558;Agriculture and rural development;602995,4303;1633379,012;Agriculture and rural development
306616;European Union;2012;Ongoing;Improved Cook Stoves Programme, Laos;02.01.2013;OLIVER-CRUZ IGNACIO;31.07.2019;13;Savannakhet;???????????;Savannakhet;?. ??????????????;1847792;369558;Agriculture and rural development;575095,9569;1830288,616;Agriculture and rural development
306616;European Union;2012;Ongoing;Improved Cook Stoves Programme, Laos;02.01.2013;OLIVER-CRUZ IGNACIO;31.07.2019;12;Khammouan;??????;Khammuane;???. ???????;1847792;369558;Agriculture and rural development;527368,6569;1942822,341;Agriculture and rural development
306616;European Union;2012;Ongoing;Improved Cook Stoves Programme, Laos;02.01.2013;OLIVER-CRUZ IGNACIO;31.07.2019;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;1847792;369558;Agriculture and rural development;244231,412;2007885,134;Agriculture and rural development
306616;European Union;2012;Ongoing;Improved Cook Stoves Programme, Laos;02.01.2013;OLIVER-CRUZ IGNACIO;31.07.2019;10;Vientiane;??????;Vientiane;?. ???????;1847792;369558;Agriculture and rural development;196432,3932;2062692,358;Agriculture and rural development
371137;European Union;2015;Ongoing;Support to the GOL’s PFM Modernization Strategy;15.12.2015;HYJEK JULIANNA;31.03.2019;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;2000000;2000000;Governance;244231,412;2007885,134;Governance
342306;European Union;2014;Ongoing;Lao Equity through policy Analysis and Research Networks (LEARN);05.01.2015;VONGSALY CHINDAVANH;31.10.2021;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;2168269;2168269;Health;244231,412;2007885,134;Health
368615;European Union;2016;Ongoing;Northern Uplands Food and Nutrition Security Improvement Project (NUFNIP);02.01.2016;SENEKHAMTY Inpone;31.07.2021;6;Louangphabang;?????????;Luangprabang;?. ???????????;2775000;1387500;Nutrition ;243140,5795;2226599,839;Nutrition 
368615;European Union;2016;Ongoing;Northern Uplands Food and Nutrition Security Improvement Project (NUFNIP);02.01.2016;SENEKHAMTY Inpone;31.07.2021;3;Louangnamtha;?????????;Luangnamtha;?. ???????????;2775000;1387500;Nutrition ;97807,1837;2314345,448;Nutrition 
